user_id,week_year,num_ascolti_totali,num_ascolti_artista,artisti_univoci,generi_univoci
Aeris_El_Oso,2014/34,1,0,1,1
Aeris_El_Oso,2014/35,3,0,3,3
Aeris_El_Oso,2014/36,1,0,1,1
Aeris_El_Oso,2014/37,1,1,1,1
Aeris_El_Oso,2014/39,4,0,1,1
Aeris_El_Oso,2014/40,1,0,1,1
Aeris_El_Oso,2014/43,3,0,2,2
Aeris_El_Oso,2014/44,2,0,1,1
Aeris_El_Oso,2014/45,10,0,2,2
Aeris_El_Oso,2014/46,1,0,1,1
Aeris_El_Oso,2014/49,6,0,2,2
Aeris_El_Oso,2014/50,7,0,2,2
Aeris_El_Oso,2015/16,14,0,2,2
Aeris_El_Oso,2015/28,1,0,1,1
Aeris_El_Oso,2015/51,2,0,1,1
Affliction18,2011/32,120,1,62,14
Affliction18,2011/35,8,0,7,5
Affliction18,2011/37,18,0,15,6
Affliction18,2012/42,39,0,35,10
Affliction18,2013/32,2,0,2,2
AfroBoyy,2014/21,53,3,28,12
AfroBoyy,2014/36,2,0,2,2
AfroBoyy,2014/37,13,0,8,7
AfroBoyy,2014/40,12,0,4,3
AfroBoyy,2014/46,1,0,1,1
AfroBoyy,2014/47,3,0,2,1
AfroBoyy,2014/48,66,0,24,12
AfroBoyy,2015/03,8,0,6,5
AfroBoyy,2015/04,1,0,1,1
AfroBoyy,2015/06,3,0,1,1
Afrojenks,2012/26,10,0,5,5
Afrojenks,2012/27,7,0,1,1
Afrojenks,2012/28,7,0,3,3
Afrojenks,2012/29,3,0,1,1
Afrojenks,2012/34,1,0,1,1
Afrojenks,2012/35,4,0,2,1
Afrojenks,2012/39,14,1,7,4
Afrojenks,2012/48,6,0,2,2
Afrojenks,2013/02,2,0,2,2
AgentMilkshake1,2013/01,14,0,2,2
AgentMilkshake1,2013/44,39,0,19,10
AgentMilkshake1,2013/45,17,0,1,1
AgentMilkshake1,2013/46,24,3,3,2
AgentMilkshake1,2013/51,5,0,3,2
AgentMilkshake1,2014/02,25,0,6,4
AgentMilkshake1,2014/03,4,0,2,2
AgentMilkshake1,2014/04,1,0,1,1
AgentMilkshake1,2014/05,17,0,2,2
AgentMilkshake1,2014/09,7,0,3,3
Agent_0range,2012/51,137,2,55,20
Agent_0range,2012/52,49,0,42,17
AimeeKing94,2010/23,20,0,12,8
AimeeKing94,2010/25,5,0,5,2
AimeeKing94,2010/26,14,0,10,4
AimeeKing94,2010/28,43,0,25,9
AimeeKing94,2010/29,46,11,19,7
AimeeKing94,2010/33,13,0,11,5
Aims_rose18,2012/48,20,0,3,2
Aims_rose18,2012/49,29,0,18,11
Aims_rose18,2012/52,9,0,4,4
Aims_rose18,2013/01,8,0,3,3
Aims_rose18,2013/02,10,1,10,5
Aims_rose18,2013/04,14,0,1,1
Aimz666,2012/49,95,3,66,19
Aimz666,2013/04,42,1,29,9
Aimz666,2013/09,1,0,1,1
Aimz666,2013/13,1,0,1,1
Aimz666,2013/19,4,4,1,1
Aimz666,2013/20,3,0,1,1
Ains_shir,2010/05,4,0,4,4
Ains_shir,2010/07,2,0,2,2
Ains_shir,2010/12,25,0,25,9
Ains_shir,2010/15,3,0,3,3
Ains_shir,2010/19,1,0,1,1
Ains_shir,2010/21,66,0,56,14
Ains_shir,2010/34,24,1,23,7
