user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci,degree_initial_network,num_amici,quota_amici_artista,friends_num_ascolti_totali,friends_num_ascolti_artista,friends_settimane_totali,friends_settimane_artista,churn,reason
Pixaul,164.0,11.0,9.0,5.0,93.0,22.0,24,7.0,0.142857142857,124.571428571,0.142857142857,8.42857142857,0.142857142857,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
PrincessJude,173.0,12.0,8.0,3.0,106.0,32.0,6,5.0,0.0,118.8,0.0,3.6,0.0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
PurePolitePale,149.0,17.0,11.0,2.0,56.0,20.0,13,2.0,0.5,167.0,1.5,9.0,0.5,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
RACooperman,137.0,13.0,6.0,2.0,38.0,13.0,3,1.0,1.0,163.0,36.0,5.0,2.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Redbaron123,186.0,24.0,8.0,3.0,117.0,21.0,5,2.0,0.0,113.0,0.0,2.5,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Renard99,168.0,11.0,11.0,3.0,86.0,22.0,27,12.0,0.166666666667,124.666666667,0.666666666667,5.41666666667,0.166666666667,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Rissared,131.0,10.0,13.0,3.0,30.0,15.0,12,5.0,0.0,105.2,0.0,3.8,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
SPCotter,162.0,33.0,5.0,2.0,68.0,23.0,10,4.0,0.0,152.0,0.0,6.75,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
SarahChiefette,156.0,24.0,7.0,3.0,89.0,33.0,49,14.0,0.214285714286,100.785714286,0.5,5.07142857143,0.428571428571,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Saymantha,155.0,14.0,15.0,3.0,81.0,24.0,1,1.0,0.0,151.0,0.0,2.0,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Sean-C-7,154.0,11.0,8.0,2.0,96.0,25.0,30,4.0,0.25,124.75,0.75,6.0,0.5,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Sebastien_SAFC,130.0,11.0,13.0,2.0,55.0,21.0,7,1.0,1.0,99.0,1.0,11.0,1.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
StarstruckAngel,165.0,36.0,7.0,4.0,98.0,29.0,41,10.0,0.2,127.0,3.8,7.1,0.4,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
StaticVeins,159.0,36.0,15.0,3.0,31.0,14.0,19,6.0,0.333333333333,104.666666667,1.83333333333,4.0,0.5,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Suicidal_Steve,136.0,18.0,13.0,4.0,31.0,16.0,8,6.0,0.0,127.333333333,0.0,6.66666666667,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Supm8s,168.0,11.0,16.0,3.0,72.0,27.0,10,0,0,0,0,0,0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
TayTayRVD,164.0,14.0,7.0,5.0,31.0,11.0,18,8.0,0.0,120.0,0.0,6.25,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
TheBearsome,144.0,10.0,8.0,4.0,90.0,33.0,28,7.0,0.142857142857,113.714285714,0.714285714286,6.14285714286,0.571428571429,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
TheRealMez,153.0,19.0,9.0,7.0,33.0,15.0,16,3.0,0.333333333333,109.666666667,0.333333333333,2.66666666667,0.333333333333,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Thracian,176.0,20.0,5.0,2.0,24.0,14.0,44,13.0,0.153846153846,138.384615385,0.769230769231,3.92307692308,0.153846153846,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Tombirculosis,131.0,11.0,6.0,5.0,34.0,13.0,10,5.0,0.0,141.0,0.0,8.6,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Umwongo,141.0,33.0,4.0,4.0,37.0,11.0,31,5.0,0.4,142.8,0.8,5.6,0.6,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
WeirdFaerie,162.0,18.0,10.0,4.0,84.0,20.0,21,7.0,0.142857142857,123.571428571,0.142857142857,5.71428571429,0.142857142857,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
WizardParadox,173.0,17.0,7.0,4.0,94.0,29.0,42,10.0,0.2,135.7,0.2,7.8,0.2,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
X_Fayli_X,144.0,23.0,7.0,6.0,44.0,19.0,19,6.0,0.333333333333,133.333333333,2.0,8.33333333333,0.666666666667,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Zaphod69,182.0,20.0,9.0,2.0,55.0,16.0,12,5.0,0.4,132.4,1.4,5.0,0.6,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
__kali__,182.0,28.0,5.0,2.0,68.0,20.0,11,3.0,0.0,62.3333333333,0.0,5.33333333333,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
andrew_ackrell,181.0,37.0,16.0,3.0,65.0,22.0,15,10.0,0.0,146.0,0.0,3.6,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
andymason89,163.0,10.0,4.0,2.0,37.0,12.0,4,3.0,0.333333333333,119.0,0.666666666667,8.33333333333,0.666666666667,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
