user_id,week_year,num_ascolti_totali,num_ascolti_artista
HetJammin,2014/38,24,0
IYW,2015/47,26,1
IYW,2015/48,11,0
IYW,2015/49,76,14
IYW,2015/50,23,0
Jazzy_hall,2011/09,18,0
Jazzy_hall,2011/10,41,7
Jazzy_hall,2011/11,36,14
Jazzy_hall,2011/14,8,0
Jazzy_hall,2012/02,15,0
Jazzy_hall,2012/40,15,0
Jazzy_hall,2012/43,16,0
Jimbob3005,2011/43,32,2
Jimbob3005,2011/44,3,2
Jimbob3005,2012/02,64,19
Jimbob3005,2012/03,45,11
Jmoqueen,2012/12,18,0
Jmoqueen,2012/13,11,0
Jmoqueen,2012/14,18,0
Jmoqueen,2012/15,6,0
Jmoqueen,2012/17,6,0
Jmoqueen,2012/23,27,27
Jmoqueen,2012/25,1,0
Jmoqueen,2012/36,6,0
Jmoqueen,2012/39,31,1
Jmoqueen,2013/22,2,0
Jmoqueen,2014/17,4,0
Jmoqueen,2014/20,6,0
Jmoqueen,2014/22,22,1
Jmoqueen,2015/22,10,1
Jmoqueen,2015/26,5,0
Jodiewodiejo,2012/36,20,0
Jodiewodiejo,2012/42,16,1
Jodiewodiejo,2012/44,2,0
Jodiewodiejo,2012/46,73,0
Jodiewodiejo,2012/48,27,25
Jodiewodiejo,2012/52,2,0
Jodiewodiejo,2013/03,2,0
Jodiewodiejo,2013/31,27,1
Joe120,2015/02,9,0
Joe120,2015/08,31,5
Joe120,2015/10,34,8
Joe120,2015/12,2,0
Joe120,2015/13,13,2
Joe120,2015/18,1,0
Joe120,2015/22,7,0
Joe120,2015/24,22,3
Joe120,2015/25,10,10
Joe120,2015/29,2,0
Joe120,2015/30,17,0
Kaeroll,2010/26,28,9
Kaeroll,2010/27,107,13
Kaeroll,2010/28,9,0
Kaeroll,2010/29,12,1
Kal-Faegan,2016/11,67,1
Kal-Faegan,2016/12,32,0
Kal-Faegan,2016/13,45,1
Kal-Faegan,2016/14,32,8
Kelvin7,2015/49,31,0
Kelvin7,2015/50,24,0
Kelvin7,2015/51,14,0
Kelvin7,2015/52,15,0
Kelvin7,2015/53,17,0
Kelvin7,2016/05,12,0
Kelvin7,2016/06,9,9
Kelvin7,2016/07,21,16
Kennethcml,2011/03,21,0
Kennethcml,2011/04,57,0
Kennethcml,2011/05,24,3
Kennethcml,2011/06,9,9
Kennethcml,2011/07,7,0
Kennethcml,2011/08,33,0
Kennethcml,2011/09,1,0
Kirsteek,2011/25,26,6
Kirsteek,2011/27,1,0
Kirsteek,2011/28,23,4
Kirsteek,2011/29,13,1
Kirsteek,2011/32,13,0
Kirsteek,2012/40,61,14
Kung-Fu_Devil,2012/01,7,1
Kung-Fu_Devil,2012/37,5,0
Kung-Fu_Devil,2012/48,1,0
Kung-Fu_Devil,2012/52,11,1
Kung-Fu_Devil,2013/07,7,0
Kung-Fu_Devil,2013/08,3,0
Kung-Fu_Devil,2013/09,2,0
Kung-Fu_Devil,2013/16,2,0
Kung-Fu_Devil,2013/19,24,1
Kung-Fu_Devil,2013/21,4,0
Kung-Fu_Devil,2013/22,11,1
