user_id,degree_initial_network
ladyvenom,160
Stardustsarah,1
nicolettex,62
Sia0631,2
badboy786,13
MozYa,27
Clemeh,78
helloiamnatalie,376
bornwina_ftd,3
hidingplace,15
dillhouse,10
MajoretteMina,12
stereofarmer,14
rachaelisgayer,1
peter_roch,21
haggistours,1
Zweeal,18
Jarvnauskis,184
NoFro,14
awshwmdtmpunk,15
Dionneyy,4
StealThisCasey,37
Full_Of_Carl,15
AstonRoberts,54
abc_helen,69
Mmmkayness,8
domril,12
smirnovkool,123
seantheflere,7
rig_up,47
cgrussellm,17
amyppm,35
country_mike,17
krist69,24
LettyBrook,18
YohjiYeo,22
schilds09,22
sixthofoctober,37
josh-talent,30
Jvans,5
ThomSmith,33
AdamDotMan,2
tomsandford,42
carsten_doig,101
dvfrancis,9
chezc,112
liamsdirtcheap,19
chunkychew,22
TaMmY1981,28
cuty91,108
still136,7
benmcsharry,6
misslauraxo,14
thebigredbutton,55
robderosa,34
Caliban420,35
solent64,156
skadiida,33
aidanearl,10
lairypoo,36
simd,2
ScoopTheBark,24
FloralStreet,38
daamaam,5
emre5,68
tom1young,18
ls7t,16
fu3lth3j3t,13
Gorthorn,55
mojococo,19
killthedramax,55
Qu1etAngel,2
smaur,27
medwards3,10
astro_feline,3
alandonkin,9
kimmmmmmay,44
jaypee735,37
punchapanda,24
SealeyBoy,12
MidnightBarber,22
Decai,5
EllaFeist,87
flawedamythyst,10
lizzlebeth,14
icedmaple,8
RebeckahD,7
charlieblimey,7
Jiiigsaw,6
geeeorgia,10
CyberHawk,47
thomblake,31
SimplePanOfEggs,57
rainbowwcookies,6
frijj,5
friji,5
Tongan-Ninja,2
naggabist,16
keevarr,17
philsherry,54
LOGIBEARLOGAN,131
workersplaytime,19
johnpeakemusic,2
bluebirdberry,3
kayliemon,16
Hainesey,7
pinkicedbun,29
kcir,32
curseofmilhaven,20
nuggetstump,36
xDark_Oblivionx,46
pixel_faye,148
Engekbert,8
BonjourAMY,107
ncmc,45
Melies,44
melodykate,11
kiranisbrown,20
michael3008,6
AnaKomolova,23
maltby828,30
ericajane93,7
JamesRidgwayUK,3
nishajl,44
ash_pash,29
aaaandreaugusto,13
pantera_slayer7,33
forget_the_fact,15
bigdaftdave,17
eyetoons,24
tomcrito,71
musicalgoose,52
WilfredKnievel,19
LordLandshark,23
Lozzzaa23,10
jo55_hhh,40
bumposaurus,41
Coral-Fang,139
Gabadelic,35
mad-about-music,6
fearofmanc,69
xe2,10
heathel,31
oldfridgeskill,112
OliverJAsh,28
xopaperlungs,33
obsidianpikachu,2
thirstyEars,10
JackistRad,28
enfilade77,18
samsam1704,33
ThomD,19
schmackattak,19
AceOfTheDeck,138
farrellface,5
jp100,56
TerryH1,12
ab65dwm,9
CiaranLogue,22
OrlaVeflock,9
Sweet_Augustine,13
BrokeAccount,36
brentq,62
paisley__,90
heartboxx,29
Sean6011,21
coull,25
baileybonce,13
Sayuri_x,71
sine-out,38
GKiiD,2
Jenky,42
stevie-jade,58
albino_rhino55,21
jaffabrown,18
m3rt,28
littleponderer,14
xianfreak,8
MonkeyTrousers,109
wookieman25,9
darthhelen,8
joanofarctan,119
JossWebber,25
Halllidonto,70
SirTedE,34
josemigue1,3
johnbri_uk,5
LOZ17,3
mwas103,13
GottaBeAndrew,1
ChaliceOFM,396
Alexstripeysock,16
Dougie-B,268
Al2MEDWITHAMIND,107
katiewillson,25
mwnci351,4
gerjomarty,21
Proper_Bo,40
BreNozella,25
Louisiella,23
Dubchester,13
ukfury,42
danKing,27
studlywonder,1
bunny9984,16
avoid80,58
saysteph__,16
Shuffy2010,6
RAVST3R,5
jisatsusha,26
x--Michelle,65
pmb_rocks,23
Neavers,43
georgiefoot,13
Body_Breakdown,9
rabbeaton,41
kittengirl25,2
Davus,11
C-A-R-A,19
teamcooperuk,95
SeanLaVegan,7
ange73,11
automaticmagik,32
tbush_uk,2
SubtleAqua,5
mr-paul,10
RagnarRock,99
hawkida,24
pixelpixelpixel,38
MattBreakdown,2
Atsushunamir,15
tibetanbob,3
niiiccccc,97
Sophy_x,5
SugarWolfz,12
pyzamarama,12
dan7721,17
CloudBurst1988,57
atomicbeatboy,234
bethlauraa,9
Lemon_Lover,3
Roophish,1
NickyWoolner,1
Amiii264,16
IssyKiely,20
thesmoothone_ep,19
FreshHitsRadio,11
StargirlsSoul,3
Theoneyouknew,7
PhQnix,23
nancyvw,71
homosensual,15
CDJPP,3
williamc99,163
laura-davies,29
Sidlikesmonkeys,7
