user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
ANGELOFDMC,21,0,3,0,17,7
ANIstrangehouse,172,0,11,0,89,16
ANJ32,156,0,13,0,14,12
ANTIQCOOL,197,0,8,0,138,22
ANTWILLI69,50,0,2,0,36,5
ANameForAName,134,0,2,0,76,32
AOF17,120,0,2,0,27,15
AOSomerfield,109,0,15,0,30,13
APRUL,131,0,8,0,61,21
ARCHIGOLES,182,0,8,0,20,8
ARKirkwood,145,0,6,0,96,37
ARRANRP,181,1,1,1,148,35
AR_swfc,139,0,14,0,65,27
ARhodes123,132,4,12,2,95,27
AS1LV3RN1NJA,186,0,2,0,48,22
AS568,139,0,6,0,77,34
AS_1006,28,0,12,0,24,11
ASharkWithKnees,125,0,6,0,72,23
ASinclair12,150,0,10,0,113,27
ASkn,139,0,2,0,110,16
ASkuds,157,0,5,0,29,17
ASkylitAngel,131,0,3,0,30,12
AStormInHeaven,140,0,14,0,21,6
ATDent,45,1,7,1,20,10
ATTK,75,0,2,0,9,8
AUTOSUGGESTION_,40,0,2,0,24,16
AVFC1969,118,1,5,1,78,13
AVFCAli,175,0,4,0,16,10
AVKBH,148,0,6,0,69,31
AWDTD,124,0,2,0,31,16
AWasteOfPaint,166,0,9,0,73,24
AYANE16,59,0,3,0,31,11
AYFBlog,96,0,4,0,26,11
AYearinthePast,165,0,16,0,42,20
AYzero,151,0,4,0,91,16
AZWAI07,32,0,1,0,6,4
AZXIRSTV,86,0,3,0,13,8
A_Certain_Jow,24,0,1,0,17,6
A_Findlater,179,0,9,0,100,24
A_J_,133,0,10,0,72,25
A_J_OD,46,0,7,0,38,16
A_Llama,128,0,2,0,11,9
A_R_V,84,0,3,0,16,12
A_S_P_84,164,0,2,0,38,23
A_Webb,174,0,5,0,61,20
A_ellins,113,0,12,0,23,11
A_ndrew,169,0,13,0,129,34
Aaaaaaaaaron,112,0,2,0,29,16
Aabey14,28,0,2,0,22,14
Aadkid,150,0,4,0,53,24
AaliyahCarmela,182,0,12,0,120,21
AamirSoul,170,0,7,0,86,15
Aandri,60,0,4,0,8,5
Aaphd,150,0,25,0,108,33
Aaran225,166,0,10,0,44,23
Aaran_David,139,0,4,0,32,14
Aardvarked,98,0,2,0,5,4
Aarghlex,156,0,12,0,18,11
Aarny,154,0,1,0,15,7
Aaron0812,76,0,3,0,47,16
AaronBailey95,303,0,2,0,143,41
AaronBali,125,0,3,0,56,14
AaronBrock,58,0,1,0,53,25
AaronHouston,82,0,10,0,9,4
AaronHubble89,105,0,3,0,55,20
AaronIsCrunchy,113,0,5,0,51,32
AaronLinstead,91,0,2,0,50,17
AaronMagor,157,0,2,0,11,7
AaronSpiers,146,0,7,0,69,21
Aaron_AnR,61,0,5,0,11,10
Aaron_McMuffin,180,0,2,0,130,30
AaronsHand,168,0,6,0,43,19
Aaroooooon,95,0,16,0,27,11
Aarran,173,0,3,0,91,30
Aarron15,81,0,1,0,26,13
Aasivaisv,92,0,4,0,14,12
AbandonedPaths,125,0,9,0,54,25
Abaolu,166,0,8,0,114,14
AbbaFan1972,186,0,10,0,127,23
AbbaJabba18,127,0,26,0,65,20
Abbbeyyy,90,0,12,0,34,12
Abbeeeey,145,0,11,0,55,26
AbbeyLester,163,0,7,0,87,36
Abbeyb37,187,0,2,0,56,23
Abbeydawnxx,45,0,8,0,30,9
Abbi-Cooper,143,0,1,0,10,7
Abbie-Rebecca,84,0,3,0,44,11
AbbieJade,127,0,6,0,73,22
AbbieeSnail,135,0,3,0,59,20
AbbiiMushroom,150,0,5,0,106,25
Abbileigh,166,0,1,0,46,18
Abbilina,118,5,8,3,53,20
Abbstar,141,0,11,0,13,6
AbbyCooper,25,0,2,0,21,10
AbbyGeorgeson,105,3,2,1,50,21
AbbyLlama,160,0,7,0,37,16
AbbyMerrygold,1,0,1,0,1,1
Abbyisawesome,113,0,2,0,56,13
Abcking,112,0,8,0,34,16
Abcmsaj,163,0,9,0,20,8
Abdillest,141,0,15,0,35,12
Aberlad93,121,0,4,0,45,8
Aberlass,166,0,10,0,134,36
Abhischek,39,0,1,0,26,15
Abi-ZN,129,0,16,0,62,22
AbiCooper,117,0,9,0,27,11
AbiScott,91,0,11,0,53,24
AbiTanzdiktator,103,0,2,0,71,33
AbigailEM,140,0,1,0,78,20
AbigailVictoria,127,0,3,0,76,20
Abihoe,183,0,3,0,35,8
Abjekt,143,0,5,0,46,14
Abs1000,153,0,18,0,89,31
AbsFTW,127,0,2,0,19,14
Abs_92,138,0,6,0,59,19
Abscond,103,0,3,0,76,30
Absentminded99,131,0,3,0,123,31
Absento,125,0,10,0,94,44
Absinthevein,135,0,3,0,10,7
AbsoluteGravity,115,0,3,0,40,17
Abstract_Ellie,111,1,15,1,70,25
Abstraktions,143,0,4,0,16,11
Absurd93,132,0,4,0,18,13
Abyss44,160,0,10,0,109,31
Abz90L,117,0,7,0,15,8
AcaciaBrown,68,2,8,1,37,11
AccelerateAaron,155,0,7,0,34,15
Accept-Yourself,145,0,2,0,64,23
AccidentPr0ne,164,0,2,0,57,25
AcciesFan1874,32,0,15,0,25,9
Acciomoose,153,1,15,1,89,30
Acclaimed_cone,168,0,6,0,100,34
Accountmanblue,129,0,2,0,111,35
AccptInstrctn,91,0,2,0,27,19
Acdc2693,96,0,6,0,18,9
Ace18729,109,0,16,0,64,17
AceFaceUK,157,0,5,0,72,20
AceOfCircus,14,0,4,0,11,9
AceOfTheDeck,176,0,1,0,73,18
AceVampire,101,0,3,0,64,24
AceVengeance,128,0,2,0,39,12
Ace_Lucky,98,0,3,0,47,23
Ace_Reject,38,0,4,0,18,8
Aceinthepack,170,1,10,1,24,7
AcerBen,96,0,3,0,87,26
Acerbation,132,0,1,0,41,19
AcetateProphet,172,0,3,0,66,17
AcheyShakey,92,0,1,0,21,7
Achhy,123,0,2,0,68,17
Achrenbastard,133,0,6,0,38,10
