user_id,num_ascolti_totali,settimane_totali,artisti_univoci,generi_univoci,indie rock,rock,pop,metal,electronic,hip pop,indie,r&b,punk,folk,altro
AceVengeance,128,2,39.0,12.0,0.0,0.26,0.01,0.2,0.01,0.0,0.0,0.0,0.07,0.0,0.46
AcerBen,96,3,87.0,26.0,0.0,0.06,0.47,0.01,0.01,0.0,0.0,0.03,0.01,0.0,0.41
Acerbation,132,1,41.0,19.0,0.0,0.05,0.09,0.23,0.0,0.0,0.0,0.02,0.02,0.12,0.48
Achhy,123,2,68.0,17.0,0.01,0.16,0.08,0.0,0.02,0.0,0.02,0.04,0.0,0.01,0.66
AcidPenguin,142,4,80.0,24.0,0.01,0.35,0.28,0.0,0.07,0.0,0.0,0.01,0.04,0.0,0.25
AcidRephlux,187,3,119.0,43.0,0.03,0.33,0.04,0.05,0.03,0.0,0.01,0.01,0.09,0.02,0.41
Acidevil,175,4,22.0,15.0,0.0,0.37,0.07,0.19,0.05,0.0,0.0,0.03,0.11,0.01,0.17
Acksaw,149,2,68.0,23.0,0.0,0.09,0.01,0.01,0.02,0.0,0.0,0.01,0.0,0.05,0.81
Acrophis,91,8,40.0,19.0,0.0,0.02,0.01,0.78,0.02,0.0,0.0,0.0,0.0,0.0,0.16
ActYourRage,149,3,18.0,7.0,0.07,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.68,0.0,0.19
Actel,154,4,96.0,36.0,0.14,0.2,0.18,0.0,0.13,0.0,0.03,0.0,0.08,0.05,0.19
Ad_C,183,1,135.0,29.0,0.09,0.43,0.11,0.01,0.02,0.0,0.04,0.0,0.01,0.19,0.1
Adagio91,162,2,23.0,9.0,0.0,0.15,0.43,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.41
Adalon,137,3,15.0,10.0,0.05,0.24,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.16,0.4
Adam1988innit,191,1,54.0,22.0,0.11,0.37,0.05,0.0,0.1,0.0,0.06,0.0,0.02,0.09,0.2
AdamApple94,132,9,64.0,24.0,0.02,0.1,0.2,0.01,0.02,0.0,0.01,0.11,0.01,0.0,0.55
AdamDowds,100,2,54.0,27.0,0.02,0.06,0.39,0.02,0.08,0.0,0.01,0.0,0.01,0.0,0.41
AdamFoxy666,119,3,51.0,18.0,0.0,0.29,0.42,0.01,0.02,0.0,0.0,0.02,0.03,0.0,0.22
AdamG1138,93,2,16.0,11.0,0.01,0.24,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.35,0.27
AdamHarness,161,3,42.0,15.0,0.04,0.05,0.05,0.06,0.0,0.0,0.0,0.0,0.25,0.0,0.55
AdamJPart,156,2,113.0,37.0,0.0,0.08,0.21,0.0,0.08,0.0,0.01,0.04,0.01,0.0,0.58
AdamLC,165,1,71.0,17.0,0.03,0.49,0.26,0.01,0.01,0.0,0.01,0.0,0.05,0.0,0.15
AdamParker1986,98,3,15.0,5.0,0.0,0.88,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.01
AdamPellinDeeve,145,3,40.0,11.0,0.0,0.11,0.14,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.73
AdamWhiteman,187,4,132.0,26.0,0.0,0.44,0.34,0.03,0.0,0.0,0.0,0.02,0.01,0.01,0.16
AdamWhittingham,139,1,112.0,36.0,0.1,0.22,0.18,0.0,0.14,0.0,0.08,0.0,0.01,0.05,0.22
Adam_A_09,130,2,59.0,26.0,0.08,0.22,0.23,0.0,0.18,0.0,0.04,0.01,0.0,0.02,0.24
Adam_UK,106,6,65.0,27.0,0.0,0.04,0.04,0.01,0.2,0.0,0.0,0.02,0.01,0.01,0.68
Adam_john,163,3,44.0,11.0,0.0,0.08,0.08,0.54,0.0,0.0,0.0,0.0,0.19,0.02,0.09
Adamc_1990,148,10,48.0,22.0,0.24,0.26,0.13,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.32
Adamjones1989,152,4,86.0,38.0,0.0,0.07,0.02,0.03,0.14,0.0,0.01,0.04,0.0,0.07,0.62
Adamoo,138,3,13.0,11.0,0.0,0.27,0.03,0.0,0.22,0.0,0.03,0.0,0.0,0.0,0.45
AdamskiFTW,97,2,24.0,9.0,0.12,0.43,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
Adamworthy,124,2,75.0,19.0,0.01,0.49,0.06,0.0,0.0,0.0,0.06,0.02,0.1,0.15,0.1
Addicted2Melody,129,8,70.0,20.0,0.0,0.02,0.01,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.87
Ade21,123,4,75.0,19.0,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.03,0.01,0.01,0.88
Ade_York,176,2,46.0,17.0,0.0,0.13,0.41,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.39
